Training for 100000 steps ...
   400/100000: episode: 1, duration: 32.817s, episode steps: 400, steps per second:  12, episode reward: 1889.812, mean reward:  4.725 [ 0.000, 25.352], mean action: 1.552 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   800/100000: episode: 2, duration: 32.561s, episode steps: 400, steps per second:  12, episode reward: 2276.738, mean reward:  5.692 [ 0.000, 30.394], mean action: 1.542 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  1200/100000: episode: 3, duration: 32.622s, episode steps: 400, steps per second:  12, episode reward: 1906.220, mean reward:  4.766 [ 0.000, 21.005], mean action: 1.520 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  1600/100000: episode: 4, duration: 33.016s, episode steps: 400, steps per second:  12, episode reward: 2107.594, mean reward:  5.269 [ 0.000, 20.088], mean action: 1.445 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  2000/100000: episode: 5, duration: 33.014s, episode steps: 400, steps per second:  12, episode reward: 1920.146, mean reward:  4.800 [ 0.000, 25.703], mean action: 1.530 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  2400/100000: episode: 6, duration: 34.964s, episode steps: 400, steps per second:  11, episode reward: 2594.974, mean reward:  6.487 [ 0.000, 28.899], mean action: 1.435 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  2800/100000: episode: 7, duration: 32.616s, episode steps: 400, steps per second:  12, episode reward: 1839.583, mean reward:  4.599 [ 0.000, 27.430], mean action: 1.538 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  3200/100000: episode: 8, duration: 32.685s, episode steps: 400, steps per second:  12, episode reward: 3581.093, mean reward:  8.953 [ 0.000, 39.436], mean action: 1.450 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  3600/100000: episode: 9, duration: 32.659s, episode steps: 400, steps per second:  12, episode reward: 2422.863, mean reward:  6.057 [ 0.000, 28.137], mean action: 1.495 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4000/100000: episode: 10, duration: 32.587s, episode steps: 400, steps per second:  12, episode reward: 1903.432, mean reward:  4.759 [ 0.000, 29.483], mean action: 1.490 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4400/100000: episode: 11, duration: 32.615s, episode steps: 400, steps per second:  12, episode reward: 2085.788, mean reward:  5.214 [ 0.000, 21.531], mean action: 1.512 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  4800/100000: episode: 12, duration: 32.548s, episode steps: 400, steps per second:  12, episode reward: 1952.525, mean reward:  4.881 [ 0.000, 26.325], mean action: 1.415 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  5200/100000: episode: 13, duration: 33.791s, episode steps: 400, steps per second:  12, episode reward: 2107.092, mean reward:  5.268 [ 0.000, 29.021], mean action: 1.542 [0.000, 3.000],  loss: 96.263778, mae: 113.255323, mean_q: 167.327511, mean_eps: 0.954100
  5600/100000: episode: 14, duration: 33.390s, episode steps: 400, steps per second:  12, episode reward: 3154.227, mean reward:  7.886 [ 0.000, 28.002], mean action: 1.403 [0.000, 3.000],  loss: 46.893450, mae: 109.475721, mean_q: 173.769876, mean_eps: 0.951404
  6000/100000: episode: 15, duration: 33.364s, episode steps: 400, steps per second:  12, episode reward: 1863.830, mean reward:  4.660 [ 0.000, 19.249], mean action: 1.583 [0.000, 3.000],  loss: 11.408455, mae: 128.197369, mean_q: 178.109873, mean_eps: 0.947805
  6400/100000: episode: 16, duration: 32.937s, episode steps: 400, steps per second:  12, episode reward: 1924.897, mean reward:  4.812 [ 0.000, 19.187], mean action: 1.623 [0.000, 3.000],  loss: 9.414780, mae: 134.818849, mean_q: 182.748057, mean_eps: 0.944204
